架次编号,航段序号,起点,终点,航段前载荷（kg）,飞行时间（s）,能耗（kWh）
T001,1,O01,S001,76.0,306.8983708492734,1.9601246337014007
T001,2,S001,O01,0.0,312.5283708492734,0.9661482121351093
T002,1,O01,S006,59.0,335.1628343606145,1.6027595256745757
T002,2,S006,O01,0.0,353.87283436061443,0.9929635708476683
T003,1,O01,S010,25.0,454.82278624738757,1.1177394417806361
T003,2,S010,O01,0.0,469.74945291405425,0.7033078430157463
T004,1,O01,S013,25.0,428.01847610075924,1.1180258069208735
T004,2,S013,O01,0.0,442.9518094340925,0.7027714640801597
T005,1,O01,S009,20.0,557.3579018271325,1.2584984790411242
T005,2,S009,S002,17.0,220.51730327448405,0.38327668910653445
T005,3,S002,O01,0.0,723.5864675113035,1.3626490548224826
T006,1,O01,S002,22.0,717.4664675113034,1.6669115418780722
T006,2,S002,O01,0.0,723.5864675113035,1.3626490548224826
T007,1,O01,S002,22.0,717.4664675113034,1.6669115418780722
T007,2,S002,O01,0.0,723.5864675113035,1.3626490548224826
T008,1,O01,S009,22.0,557.3579018271325,1.291419600753592
T008,2,S009,S002,14.0,220.51730327448405,0.37130784915640896
T008,3,S002,O01,0.0,723.5864675113035,1.3626490548224826
T009,1,O01,S012,25.0,651.9429032882982,1.6701713720475775
T009,2,S012,O01,0.0,662.0829032882982,1.0931558179349468
T010,1,O01,S014,25.0,599.8266100022308,1.2994566089442985
T010,2,S014,O01,0.0,614.7132766688976,0.8282274961881697
T011,1,O01,S011,70.0,296.50569484409175,1.6386635236656415
T011,2,S011,S007,45.0,323.7394977136353,1.2247775189104444
T011,3,S007,O01,0.0,550.6526205673279,1.435587865172512
T012,1,O01,S001,78.0,306.8983708492734,2.0385496778659964
T012,2,S001,O01,0.0,312.5283708492734,0.9661482121351093
T013,1,O01,S003,22.0,839.1126655316918,1.7166068679820643
T013,2,S003,O01,0.0,853.1659988650251,1.366153692052476
T014,1,O01,S008,45.0,684.9045272292449,3.3329610807440226
T014,2,S008,O01,0.0,699.2245272292449,2.5207938234493965
T015,1,O01,S015,25.0,588.2270505080047,1.4270958492368189
T015,2,S015,O01,0.0,611.3470505080047,0.8838097137302824
T016,1,O01,S004,20.0,674.5328846906011,1.5302324850639009
T016,2,S004,S002,6.0,230.52329566677406,0.3619742665053991
T016,3,S002,O01,0.0,599.665158872324,1.084745929746935
T017,1,O01,S003,59.0,769.3654290562129,3.6022066774710684
T017,2,S003,O01,0.0,790.4454290562128,2.293252673547171
T018,1,O01,S004,20.0,674.5328846906011,1.5302324850639009
T018,2,S004,O01,0.0,681.2395513572678,1.1483294209618007
T019,1,O01,S005,73.0,498.6578085480262,3.181840556268872
T019,2,S005,S009,14.0,310.5815629374404,0.9009680669288899
T019,3,S009,O01,0.0,489.5680473324743,1.7775520768637627
T020,1,O01,S004,25.0,674.5328846906011,1.733939933835838
T020,2,S004,O01,0.0,681.2395513572678,1.1483294209618007
