货箱编号,架次编号,服务区,物资类型,要求时刻（s）,交付完成时刻（s）,松弛量（s）,是否按时
S001-MED-01,T001,S001,医疗物资,3600.0,1248.8983708492733,2351.1016291507267,是
S001-MED-02,T001,S001,医疗物资,3600.0,1248.8983708492733,2351.1016291507267,是
S001-WAT-01,T001,S001,饮用水,3600.0,1248.8983708492733,2351.1016291507267,是
S001-WAT-02,T001,S001,饮用水,3600.0,1248.8983708492733,2351.1016291507267,是
S001-WAT-03,T001,S001,饮用水,3600.0,1248.8983708492733,2351.1016291507267,是
S001-WAT-04,T001,S001,饮用水,3600.0,1248.8983708492733,2351.1016291507267,是
S001-WAT-05,T001,S001,饮用水,3600.0,1248.8983708492733,2351.1016291507267,是
S006-FOD-01,T002,S006,应急食品,7200.0,1211.1628343606144,5988.837165639386,是
S006-HYG-01,T002,S006,生活卫生用品,10800.0,1211.1628343606144,9588.837165639387,是
S006-MED-01,T002,S006,医疗物资,3600.0,1211.1628343606144,2388.8371656393856,是
S006-WAT-01,T002,S006,饮用水,3600.0,1211.1628343606144,2388.8371656393856,是
S006-WAT-02,T002,S006,饮用水,3600.0,1211.1628343606144,2388.8371656393856,是
S006-WAT-03,T002,S006,饮用水,3600.0,1211.1628343606144,2388.8371656393856,是
S010-FOD-01,T003,S010,应急食品,7200.0,1084.8227862473875,6115.177213752612,是
S010-MED-01,T003,S010,医疗物资,3600.0,1084.8227862473875,2515.1772137526123,是
S010-WAT-01,T003,S010,饮用水,3600.0,1084.8227862473875,2515.1772137526123,是
S013-FOD-01,T004,S013,应急食品,7200.0,1058.0184761007592,6141.9815238992405,是
S013-MED-01,T004,S013,医疗物资,3600.0,1058.0184761007592,2541.9815238992405,是
S013-WAT-01,T004,S013,饮用水,3600.0,1058.0184761007592,2541.9815238992405,是
S002-MED-01,T005,S002,医疗物资,3600.0,1557.8752051016165,2042.1247948983835,是
S002-WAT-01,T005,S002,饮用水,3600.0,1557.8752051016165,2042.1247948983835,是
S009-MED-01,T005,S009,医疗物资,10800.0,1127.3579018271325,9672.642098172868,是
S002-FOD-02,T006,S002,应急食品,7200.0,1287.4664675113036,5912.533532488696,是
S002-WAT-02,T006,S002,饮用水,3600.0,1287.4664675113036,2312.5335324886964,是
S002-WAT-03,T007,S002,饮用水,3600.0,1497.8752051016165,2102.1247948983837,是
S009-FOD-01,T007,S009,应急食品,14400.0,1097.3579018271325,13302.642098172868,是
S003-MED-01,T008,S003,医疗物资,7200.0,1409.1126655316918,5790.887334468308,是
S003-WAT-01,T008,S003,饮用水,7200.0,1409.1126655316918,5790.887334468308,是
S012-FOD-01,T009,S012,应急食品,7200.0,2782.91318882315,4417.0868111768505,是
S012-MED-01,T009,S012,医疗物资,3600.0,2782.91318882315,817.08681117685,是
S012-WAT-01,T009,S012,饮用水,3600.0,2782.91318882315,817.08681117685,是
S014-FOD-01,T010,S014,应急食品,7200.0,2784.398849163673,4415.601150836327,是
S014-MED-01,T010,S014,医疗物资,3600.0,2784.398849163673,815.6011508363272,是
S014-WAT-01,T010,S014,饮用水,3600.0,2784.398849163673,815.6011508363272,是
S007-FOD-01,T011,S007,应急食品,7200.0,2989.9993622658744,4210.000637734125,是
S007-HYG-01,T011,S007,生活卫生用品,10800.0,2989.9993622658744,7810.000637734125,是
S007-MED-01,T011,S007,医疗物资,3600.0,2989.9993622658744,610.0006377341256,是
S007-WAT-01,T011,S007,饮用水,3600.0,2989.9993622658744,610.0006377341256,是
S007-WAT-02,T011,S007,饮用水,3600.0,2989.9993622658744,610.0006377341256,是
S015-FOD-01,T011,S015,应急食品,14400.0,3502.534606103487,10897.465393896513,是
S015-MED-01,T011,S015,医疗物资,7200.0,3502.534606103487,3697.465393896513,是
S015-WAT-01,T011,S015,饮用水,10800.0,3502.534606103487,7297.465393896513,是
S001-FOD-01,T012,S001,应急食品,7200.0,2879.934039570502,4320.065960429498,是
S001-FOD-02,T012,S001,应急食品,7200.0,2879.934039570502,4320.065960429498,是
S001-FOD-03,T012,S001,应急食品,7200.0,2879.934039570502,4320.065960429498,是
S001-HYG-01,T012,S001,生活卫生用品,10800.0,2879.934039570502,7920.065960429498,是
S001-HYG-02,T012,S001,生活卫生用品,10800.0,2879.934039570502,7920.065960429498,是
S001-WAT-06,T012,S001,饮用水,3600.0,2879.934039570502,720.0659604294979,是
S001-WAT-07,T012,S001,饮用水,3600.0,2879.934039570502,720.0659604294979,是
S001-WAT-08,T012,S001,饮用水,3600.0,2879.934039570502,720.0659604294979,是
S002-FOD-01,T013,S002,应急食品,7200.0,3298.5194025339106,3901.4805974660894,是
S002-WAT-04,T013,S002,饮用水,3600.0,3298.5194025339106,301.4805974660894,是
S004-FOD-01,T014,S004,应急食品,10800.0,4778.025156153672,6021.974843846328,是
S004-HYG-01,T014,S004,生活卫生用品,14400.0,4778.025156153672,9621.974843846328,是
S004-MED-01,T014,S004,医疗物资,7200.0,4778.025156153672,2421.9748438463284,是
S004-WAT-01,T014,S004,饮用水,7200.0,4778.025156153672,2421.9748438463284,是
S004-WAT-02,T014,S004,饮用水,7200.0,4778.025156153672,2421.9748438463284,是
S004-WAT-03,T014,S004,饮用水,7200.0,4778.025156153672,2421.9748438463284,是
S002-HYG-01,T015,S002,生活卫生用品,10800.0,4772.761239295374,6027.238760704626,是
S009-WAT-01,T015,S009,饮用水,10800.0,4401.092021106126,6398.907978893874,是
S005-FOD-01,T016,S005,应急食品,14400.0,5425.436007721367,8974.563992278632,是
S005-HYG-01,T016,S005,生活卫生用品,18000.0,5425.436007721367,12574.563992278632,是
S008-FOD-01,T016,S008,应急食品,10800.0,6105.279691400502,4694.720308599498,是
S008-HYG-01,T016,S008,生活卫生用品,14400.0,6105.279691400502,8294.720308599499,是
S008-MED-01,T016,S008,医疗物资,7200.0,6105.279691400502,1094.720308599498,是
S008-WAT-01,T016,S008,饮用水,7200.0,6105.279691400502,1094.720308599498,是
S008-WAT-02,T016,S008,饮用水,7200.0,6105.279691400502,1094.720308599498,是
S003-FOD-01,T017,S003,应急食品,10800.0,7143.01333094378,3656.9866690562203,是
S003-FOD-02,T017,S003,应急食品,10800.0,7143.01333094378,3656.9866690562203,是
S003-HYG-01,T017,S003,生活卫生用品,14400.0,7143.01333094378,7256.98666905622,是
S003-WAT-02,T017,S003,饮用水,7200.0,7143.01333094378,56.98666905622031,是
S003-WAT-03,T017,S003,饮用水,7200.0,7143.01333094378,56.98666905622031,是
S003-WAT-04,T017,S003,饮用水,7200.0,7143.01333094378,56.98666905622031,是
S005-MED-01,T018,S005,医疗物资,10800.0,8542.767800277585,2257.2321997224153,是
S005-WAT-01,T018,S005,饮用水,10800.0,8542.767800277585,2257.2321997224153,是
S005-WAT-02,T018,S005,饮用水,10800.0,8542.767800277585,2257.2321997224153,是
S005-WAT-03,T018,S005,饮用水,10800.0,8542.767800277585,2257.2321997224153,是
S011-FOD-01,T018,S011,应急食品,14400.0,7899.009913473838,6500.990086526162,是
S011-MED-01,T018,S011,医疗物资,10800.0,7899.009913473838,2900.9900865261616,是
S011-WAT-01,T018,S011,饮用水,10800.0,7899.009913473838,2900.9900865261616,是
