无人机编号,机型,架次编号,开始时刻（s）,返航时刻（s）
U01,A,T005,0.0,2281.4616726129198
U02,A,T006,0.0,2011.052935022607
U02,A,T013,2011.052935022607,4022.105870045214
U03,A,T007,0.0,2221.4616726129198
U04,A,T008,0.0,2262.278664396717
U05,B,T003,0.0,1554.5722391614418
U05,B,T010,1554.5722391614418,3399.11212583257
U05,B,T015,3399.11212583257,5372.426398167698
U06,B,T004,0.0,1500.9702855348519
U06,B,T009,1500.9702855348519,3444.996092111448
U07,C,T001,0.0,1561.4267416985467
U07,C,T011,1561.4267416985467,4164.778199173341
U07,C,T016,4164.778199173341,6804.504218629747
U07,C,T018,6804.504218629747,9048.155608825611
U08,C,T002,0.0,1565.0356687212288
U08,C,T012,1565.0356687212288,3192.4624104197756
U08,C,T014,3192.4624104197756,5497.647901887567
U08,C,T017,5497.647901887567,7933.458759999992
